CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
C0EOQXXNNB,98937,89043,742028,0.9,7.5,8.3334,9001,3881,0.4312,0.091,0.1011,0.0121,5049,2534,0.5019,0.051,0.0567,0.0068,20305,12688,0.6249,0.2052,0.228,0.0274,0,0,0.5798,0.0,0.0,0.0,9201,4928,0.5356,0.093,0.1033,0.0124,5212,2683,0.5148,0.0527,0.0585,0.007,2119,1215,0.5734,0.0214,0.0238,0.0029,14503,7341,0.5062,0.1466,0.1629,0.0195,2100,1050,0.5,0.0212,0.0236,0.0028,28927,16976,0.5869,0.2924,0.3249,0.039,2520,1263,0.5012,0.0255,0.0283,0.0034,98937,54559,0.5515,1.0,1.1111,0.1333,High,1,0,0,1,0,538,1
C0F4LCF4BH,14291,207220,20007,14.5,1.4,0.0965,1688,1195,0.7079,0.1181,0.0081,0.0844,0,0,0.5014,0.0,0.0,0.0,3616,1831,0.5064,0.253,0.0175,0.1807,0,0,0.6287,0.0,0.0,0.0,0,0,0.476,0.0,0.0,0.0,4430,2294,0.5178,0.31,0.0214,0.2214,2731,2237,0.8191,0.1911,0.0132,0.1365,0,0,0.5062,0.0,0.0,0.0,161,81,0.5031,0.0113,0.0008,0.008,0,0,0.25,0.0,0.0,0.0,1665,843,0.5063,0.1165,0.008,0.0832,14291,8481,0.5935,1.0,0.069,0.7143,No,1,0,0,1,0,624,1
C0FG8K3OV2,166965,400716,678991,2.4,4.0667,1.6944,5995,2609,0.4352,0.0359,0.015,0.0088,3567,1785,0.5004,0.0214,0.0089,0.0053,13545,6850,0.5057,0.0811,0.0338,0.0199,0,0,0.7968,0.0,0.0,0.0,6519,3935,0.6036,0.039,0.0163,0.0096,14778,7606,0.5147,0.0885,0.0369,0.0218,3498,820,0.2344,0.021,0.0087,0.0052,0,0,0.5062,0.0,0.0,0.0,5441,2477,0.4552,0.0326,0.0136,0.008,50833,28944,0.5694,0.3045,0.1269,0.0749,7134,3597,0.5042,0.0427,0.0178,0.0105,111310,58623,0.5267,0.6667,0.2778,0.1639,High,1,0,0,1,0,582,0
C0GE5SFY2G,209348,209348,1084801,1.0,5.1818,5.1818,16933,7967,0.4705,0.0809,0.0809,0.0156,8987,4536,0.5047,0.0429,0.0429,0.0083,27164,13783,0.5074,0.1298,0.1298,0.025,0,0,0.8581,0.0,0.0,0.0,0,0,0.5539,0.0,0.0,0.0,9925,5432,0.5473,0.0474,0.0474,0.0091,3851,2815,0.731,0.0184,0.0184,0.0035,25734,13024,0.5061,0.1229,0.1229,0.0237,3416,1555,0.4552,0.0163,0.0163,0.0031,89829,67807,0.7548,0.4291,0.4291,0.0828,4477,2265,0.5059,0.0214,0.0214,0.0041,190316,119184,0.6262,0.9091,0.9091,0.1754,No,1,0,1,1,0,602,0
C0H3H2TKKY,82618,859227,132189,10.4,1.6,0.1538,1999,754,0.3772,0.0242,0.0023,0.0151,0,0,0.5034,0.0,0.0,0.0,9371,4830,0.5154,0.1134,0.0109,0.0709,0,0,0.8429,0.0,0.0,0.0,0,0,0.6199,0.0,0.0,0.0,12729,7203,0.5659,0.1541,0.0148,0.0963,9104,5151,0.5658,0.1102,0.0106,0.0689,0,0,0.5062,0.0,0.0,0.0,468,258,0.5513,0.0057,0.0005,0.0035,44641,28892,0.6472,0.5403,0.052,0.3377,4306,2160,0.5016,0.0521,0.005,0.0326,82618,49248,0.5961,1.0,0.0962,0.625,No,1,0,0,1,0,636,0
C0IDR4CM79,56930,404832,56930,7.111,1.0,0.1406,1937,1319,0.6809,0.034,0.0048,0.034,0,0,0.4993,0.0,0.0,0.0,6961,3516,0.5051,0.1223,0.0172,0.1223,0,0,0.9383,0.0,0.0,0.0,614,327,0.5326,0.0108,0.0015,0.0108,8454,4352,0.5148,0.1485,0.0209,0.1485,2872,1941,0.6758,0.0504,0.0071,0.0504,14381,7278,0.5061,0.2526,0.0355,0.2526,383,192,0.5013,0.0067,0.0009,0.0067,24453,12978,0.5307,0.4295,0.0604,0.4295,3200,1602,0.5006,0.0562,0.0079,0.0562,63255,33505,0.5297,1.1111,0.1562,1.1111,Low,1,0,1,1,0,651,0
C0IXKYKMRL,35512,17756,273442,0.5,7.7,15.4,5392,4506,0.8357,0.1518,0.3037,0.0197,3697,1859,0.5028,0.1041,0.2082,0.0135,11236,5737,0.5106,0.3164,0.6328,0.0411,0,0,0.963,0.0,0.0,0.0,6627,3371,0.5087,0.1866,0.3732,0.0242,4058,2212,0.5451,0.1143,0.2285,0.0148,1246,820,0.6581,0.0351,0.0702,0.0046,0,0,0.5062,0.0,0.0,0.0,1413,773,0.5471,0.0398,0.0796,0.0052,0,0,0.3404,0.0,0.0,0.0,1843,922,0.5003,0.0519,0.1038,0.0067,35512,20200,0.5688,1.0,2.0,0.1299,High,1,0,0,1,0,548,0
C0JCQCXNXT,0,57923,57923,5.2158,9.2061,1.0,0,0,0.0,0.0716,0.0,0.0,0,0,0.5016,0.0276,0.0,0.0,0,0,0.5132,0.2572,0.0,0.0,0,0,0.6315,0.0,0.0,0.0,530,271,0.5113,0.038,0.0092,0.0092,876,452,0.516,0.11,0.0151,0.0151,182,135,0.7418,0.059,0.0031,0.0031,0,0,0.506,0.1042,0.0,0.0,0,0,0.477,0.0112,0.0,0.0,13223,6912,0.5227,0.6624,0.2283,0.2283,432,218,0.5046,0.0575,0.0075,0.0075,15243,7988,0.524,1.0628,0.2632,0.2632,Low,1,0,0,1,0,576,0
C0JKTNB2TD,25301,232310,23001,9.1819,0.9091,0.099,1130,888,0.7858,0.0447,0.0049,0.0491,0,0,0.5035,0.0,0.0,0.0,2706,1384,0.5115,0.107,0.0116,0.1176,0,0,1.1797,0.0,0.0,0.0,0,0,0.5127,0.0,0.0,0.0,3839,2244,0.5845,0.1517,0.0165,0.1669,1256,471,0.375,0.0496,0.0054,0.0546,5600,2834,0.5061,0.2213,0.0241,0.2435,132,72,0.5455,0.0052,0.0006,0.0057,7095,4861,0.6851,0.2804,0.0305,0.3085,1243,624,0.502,0.0491,0.0054,0.054,23001,13378,0.5816,0.9091,0.099,1.0,No,1,0,0,1,0,593,0
C0K3Z24G8I,378893,622467,1975657,1.6429,5.2143,3.1739,22731,8714,0.3834,0.06,0.0365,0.0115,8396,4205,0.5008,0.0222,0.0135,0.0042,31975,16365,0.5118,0.0844,0.0514,0.0162,0,0,0.7392,0.0,0.0,0.0,0,0,0.5478,0.0,0.0,0.0,34507,17788,0.5155,0.0911,0.0554,0.0175,12037,6097,0.5065,0.0318,0.0193,0.0061,0,0,0.506,0.0,0.0,0.0,13890,6954,0.5006,0.0367,0.0223,0.007,130447,69158,0.5302,0.3443,0.2096,0.066,16655,8317,0.4994,0.044,0.0268,0.0084,270638,137598,0.5084,0.7143,0.4348,0.137,No,1,0,0,1,0,563,1
C0KC053WZW,6789,3879,0,0.5714,0.0,0.0,124,112,0.9032,0.0183,0.032,0.0634,0,0,0.4998,0.0,0.0,0.0,2460,1253,0.5093,0.3624,0.6342,0.0504,0,0,1.1304,0.0,0.0,0.0001,0,0,0.5431,0.0,0.0,0.0004,438,247,0.5639,0.0645,0.1129,0.0,0,0,0.1357,0.0,0.0,0.0557,0,0,0.506,0.0,0.0,0.3985,0,0,0.5316,0.0,0.0,0.0,6676,4516,0.6765,0.9834,1.7211,0.0,0,0,0.5025,0.0,0.0,0.0,9698,6128,0.6319,1.4285,2.5001,2.8772,No,0,0,0,1,0,599,0
C0MI6LD2MJ,11371,91999,9303,8.0907,0.8181,0.1011,562,139,0.2473,0.0494,0.0061,0.0604,0,0,0.4995,0.0,0.0,0.0,2904,1700,0.5854,0.2554,0.0316,0.3122,0,0,0.8992,0.0,0.0,0.0,204,112,0.549,0.0179,0.0022,0.0219,3254,1827,0.5615,0.2862,0.0354,0.3498,2177,754,0.3463,0.1915,0.0237,0.234,0,0,0.5061,0.0,0.0,0.0,132,66,0.5,0.0116,0.0014,0.0142,0,0,0.7663,0.0,0.0,0.0,1104,554,0.5018,0.0971,0.012,0.1187,10337,5152,0.4984,0.9091,0.1124,1.1111,Low,1,0,0,1,0,673,0
C0PTXJAE8V,81157,14756,81157,0.1818,1.0,5.4999,14177,7632,0.5383,0.1747,0.9608,0.1747,0,0,0.5044,0.0,0.0,0.0,26533,13552,0.5108,0.3269,1.7981,0.3269,0,0,0.7489,0.0,0.0,0.0,12895,6859,0.5319,0.1589,0.8739,0.1589,10293,5929,0.576,0.1268,0.6975,0.1268,2527,1067,0.4222,0.0311,0.1713,0.0311,0,0,0.5061,0.0,0.0,0.0,3011,1808,0.6005,0.0371,0.2041,0.0371,0,0,0.4285,0.0,0.0,0.0,4343,2187,0.5036,0.0535,0.2943,0.0535,73779,39034,0.5291,0.9091,4.9999,0.9091,High,1,0,0,1,0,646,0
C0Q3WMNWFK,126790,369803,1215067,2.9167,9.5833,3.2857,8313,1156,0.1391,0.0656,0.0225,0.0068,4359,2178,0.4997,0.0344,0.0118,0.0036,16217,8241,0.5082,0.1279,0.0439,0.0133,0,0,0.9256,0.0,0.0,0.0,0,0,0.5258,0.0,0.0,0.0,14884,6196,0.4163,0.1174,0.0402,0.0122,8582,3513,0.4093,0.0677,0.0232,0.0071,0,0,0.5061,0.0,0.0,0.0,6613,3010,0.4552,0.0522,0.0179,0.0054,38039,16492,0.4336,0.3,0.1029,0.0313,8651,4326,0.5001,0.0682,0.0234,0.0071,105658,45112,0.427,0.8333,0.2857,0.087,No,1,0,0,1,0,581,0
C0SQRDFFQJ,189395,206612,671490,1.0909,3.5454,3.25,16742,5005,0.2989,0.0884,0.081,0.0249,9353,4702,0.5027,0.0494,0.0453,0.0139,28487,14402,0.5056,0.1504,0.1379,0.0424,0,0,1.0771,0.0,0.0,0.0,17294,8542,0.4939,0.0913,0.0837,0.0258,8315,3646,0.4385,0.0439,0.0402,0.0124,3014,1325,0.4396,0.0159,0.0146,0.0045,26779,13552,0.5061,0.1414,0.1296,0.0399,3879,1942,0.5006,0.0205,0.0188,0.0058,53665,26008,0.4846,0.2833,0.2597,0.0799,4649,2334,0.502,0.0245,0.0225,0.0069,172177,81458,0.4731,0.9091,0.8333,0.2564,High,1,0,0,1,0,633,0
C0TALH5KLT,26754,16052,179252,0.6,6.7,11.167,2720,486,0.1787,0.1017,0.1694,0.0152,0,0,0.5039,0.0,0.0,0.0,9066,4648,0.5127,0.3389,0.5648,0.0506,0,0,1.1908,0.0,0.0,0.0,0,0,0.4936,0.0,0.0,0.0,2960,1456,0.4919,0.1106,0.1844,0.0165,870,143,0.1644,0.0325,0.0542,0.0049,8599,4353,0.5062,0.3214,0.5357,0.048,1040,416,0.4,0.0389,0.0648,0.0058,0,0,0.4599,0.0,0.0,0.0,1499,752,0.5017,0.056,0.0934,0.0084,26754,12254,0.458,1.0,1.6667,0.1493,No,1,0,0,1,0,566,0
C0TDWDICDY,113172,833360,967110,7.3637,8.5455,1.1605,3519,754,0.2143,0.0311,0.0042,0.0036,0,0,0.503,0.0,0.0,0.0,8629,4429,0.5133,0.0762,0.0104,0.0089,0,0,0.6177,0.0,0.0,0.0,0,0,0.5222,0.0,0.0,0.0,56103,23869,0.4254,0.4957,0.0673,0.058,11038,2914,0.264,0.0975,0.0132,0.0114,0,0,0.506,0.0,0.0,0.0,6529,3566,0.5462,0.0577,0.0078,0.0068,0,0,0.2613,0.0,0.0,0.0,17066,8553,0.5012,0.1508,0.0205,0.0176,102884,44085,0.4285,0.9091,0.1235,0.1064,No,1,0,0,1,1,596,0
C0TLIMKF6J,0,55493,96098,5.2251,5.5207,1.7317,0,0,0.2727,0.0247,0.0,0.0,0,0,0.5014,0.1645,0.0,0.0,0,0,0.5567,0.2694,0.0,0.0,0,0,0.7852,0.0017,0.0,0.0,0,0,0.4849,0.0,0.0,0.0,865,447,0.5168,0.2173,0.0156,0.009,149,48,0.3221,0.0027,0.0027,0.0016,1210,612,0.5058,0.0,0.0218,0.0126,0,0,0.4706,0.0,0.0,0.0,10886,5851,0.5375,0.4604,0.1962,0.1133,425,215,0.5059,0.0685,0.0077,0.0044,13535,7173,0.53,0.8205,0.2439,0.1408,No,1,0,0,1,0,623,0
C0U8XZDDOH,60213,876429,73593,14.5555,1.2222,0.084,2928,1961,0.6697,0.0486,0.0033,0.0398,0,0,0.5016,0.0,0.0,0.0,10110,6470,0.64,0.1679,0.0115,0.1374,0,0,0.8005,0.0,0.0,0.0,0,0,0.6128,0.0,0.0,0.0,10364,5964,0.5755,0.1721,0.0118,0.1408,8264,6182,0.7481,0.1372,0.0094,0.1123,15444,7816,0.5061,0.2565,0.0176,0.2099,408,204,0.5,0.0068,0.0005,0.0055,15967,5535,0.3467,0.2652,0.0182,0.217,3418,1726,0.505,0.0568,0.0039,0.0464,66903,35858,0.536,1.1111,0.0763,0.9091,No,1,0,0,1,0,630,1
C0VFGMXCSY,49201,44281,226325,0.9,4.6,5.1111,5277,2325,0.4406,0.1073,0.1192,0.0233,2939,1472,0.5009,0.0597,0.0664,0.013,9025,4649,0.5151,0.1834,0.2038,0.0399,0,0,1.2768,0.0,0.0,0.0,0,0,0.5114,0.0,0.0,0.0,3015,1552,0.5148,0.0613,0.0681,0.0133,1056,355,0.3362,0.0215,0.0238,0.0047,8410,4257,0.5062,0.1709,0.1899,0.0372,1117,612,0.5479,0.0227,0.0252,0.0049,16896,8094,0.479,0.3434,0.3816,0.0747,1466,735,0.5014,0.0298,0.0331,0.0065,49201,24051,0.4888,1.0,1.1111,0.2174,No,1,0,0,1,0,624,0
C0XPGEXHTU,364432,1027036,2285984,2.8182,6.2727,2.2258,1855,1855,1.0,0.0051,0.0018,0.0008,35493,17874,0.5036,0.0974,0.0346,0.0155,20864,16197,0.7763,0.0573,0.0203,0.0091,0,0,0.8191,0.0,0.0,0.0,3292,1605,0.4875,0.009,0.0032,0.0014,83549,48109,0.5758,0.2293,0.0813,0.0365,15147,8330,0.5499,0.0416,0.0147,0.0066,77834,39392,0.5061,0.2136,0.0758,0.034,7843,3927,0.5007,0.0215,0.0076,0.0034,66650,38259,0.574,0.1829,0.0649,0.0292,18775,9494,0.5057,0.0515,0.0183,0.0082,331302,185042,0.5585,0.9091,0.3226,0.1449,High,1,1,1,1,1,597,0
C0XX9E31V4,122247,48899,1014650,0.4,8.3,20.7499,7797,5330,0.6836,0.0638,0.1595,0.0077,0,0,0.5054,0.0,0.0,0.0,29714,15095,0.508,0.2431,0.6077,0.0293,0,0,0.6057,0.0,0.0,0.0,0,0,0.5898,0.0,0.0,0.0,9994,5157,0.516,0.0818,0.2044,0.0098,4025,1760,0.4373,0.0329,0.0823,0.004,0,0,0.5061,0.0,0.0,0.0,4023,2014,0.5006,0.0329,0.0823,0.004,61850,26739,0.4323,0.5059,1.2649,0.061,4844,2430,0.5017,0.0396,0.0991,0.0048,122247,58525,0.4787,1.0,2.5,0.1205,No,1,1,0,1,0,581,0
C0YWSHXQ6S,276482,1543693,23040,5.5833,0.0833,0.0149,11165,6595,0.5907,0.0404,0.0072,0.4846,34084,17077,0.501,0.1233,0.0221,1.4793,12021,7519,0.6255,0.0435,0.0078,0.5217,0,0,0.5513,0.0,0.0,0.0,2881,1753,0.6085,0.0104,0.0019,0.125,70272,36432,0.5184,0.2542,0.0455,3.05,10853,6559,0.6043,0.0393,0.007,0.4711,0,0,0.5062,0.0,0.0,0.0,7538,3774,0.5007,0.0273,0.0049,0.3272,63455,30709,0.4839,0.2295,0.0411,2.7541,18133,9105,0.5021,0.0656,0.0117,0.787,230402,119523,0.5188,0.8333,0.1493,10.0001,High,1,0,0,1,1,670,0
C0ZGQ31QU3,455849,1329559,1063647,2.9167,2.3333,0.8,17402,6956,0.3997,0.0382,0.0131,0.0164,0,0,0.4991,0.0,0.0,0.0,54719,35759,0.6535,0.12,0.0412,0.0514,0,0,0.9411,0.0,0.0,0.0,0,0,0.5025,0.0,0.0,0.0,41827,21636,0.5173,0.0918,0.0315,0.0393,16926,4955,0.2927,0.0371,0.0127,0.0159,54515,27590,0.5061,0.1196,0.041,0.0513,16846,8433,0.5006,0.037,0.0127,0.0158,157319,83043,0.5279,0.3451,0.1183,0.1479,20320,10175,0.5007,0.0446,0.0153,0.0191,379874,198547,0.5227,0.8333,0.2857,0.3571,No,1,1,1,1,0,645,1
